SegmentPair,OverlapRatio,NumCorrespondences
"(0, 2) with (6, 3)",0.004091056383668179,101
"(6, 8) with (9, 6)",0.00398027169680713,46
"(7, 3) with (8, 6)",0.003937571592210767,220
"(1, 8) with (7, 3)",0.003923004498378491,75
"(6, 1) with (8, 9)",0.0038432295626633895,369
"(0, 5) with (4, 6)",0.0038242542704172685,45
"(0, 5) with (4, 4)",0.0038242542704172685,45
"(7, 2) with (8, 6)",0.003619937988888364,230
"(2, 6) with (4, 6)",0.003491271820448878,28
"(2, 7) with (5, 5)",0.003474964460590744,22
"(3, 9) with (9, 7)",0.003424657534246575,21
"(3, 9) with (9, 1)",0.003424657534246575,21
"(0, 3) with (9, 9)",0.0034135375905420032,82
"(0, 5) with (4, 1)",0.0033993371292597944,40
"(1, 3) with (8, 6)",0.0033847083711090963,224
"(0, 2) with (4, 4)",0.0032809462086843813,81
"(4, 1) with (8, 9)",0.0032716704662130412,376
"(0, 2) with (4, 6)",0.0031594296824368115,78
"(0, 2) with (9, 6)",0.0029974076474400518,74
"(2, 8) with (9, 6)",0.0029335071707953064,18
"(0, 5) with (9, 6)",0.0026344862751763406,31
"(4, 7) with (8, 5)",0.002631578947368421,47
"(2, 6) with (9, 4)",0.0026184538653366584,21
"(6, 8) with (9, 1)",0.002595829367482911,30
"(0, 3) with (2, 8)",0.0025393389393056367,61
"(6, 3) with (9, 9)",0.0024711961231104976,77
"(2, 6) with (6, 3)",0.002369077306733167,19
"(3, 8) with (9, 7)",0.0023685457129322598,20
"(6, 1) with (7, 2)",0.002333017403893223,224
"(3, 3) with (9, 7)",0.0023313999772546345,41
"(2, 8) with (7, 2)",0.0022816166883963492,14
"(4, 7) with (9, 6)",0.0022396416573348264,40
"(2, 5) with (5, 5)",0.0022091310751104565,21
"(2, 5) with (5, 1)",0.002103934357248054,20
"(0, 6) with (6, 5)",0.002002089136490251,23
"(5, 5) with (9, 9)",0.0019802832666063973,46
"(4, 6) with (9, 9)",0.0019589622523042923,78
"(0, 5) with (8, 5)",0.0019546188493243816,23
"(6, 5) with (9, 6)",0.0018773977634478818,46
"(1, 7) with (3, 9)",0.001790222630250172,39
"(2, 5) with (8, 5)",0.0017883442036608459,17
"(0, 5) with (9, 1)",0.001784651992861392,21
"(3, 3) with (9, 2)",0.0016490390083020584,29
"(2, 8) with (9, 1)",0.0016297262059973925,10
"(7, 7) with (9, 4)",0.0016245753950671984,22
"(2, 6) with (9, 6)",0.0016209476309226932,13
"(0, 6) with (6, 8)",0.0015668523676880223,18
"(7, 9) with (8, 2)",0.0015445099691098006,11
"(3, 3) with (7, 2)",0.0014784487660639144,26
"(1, 7) with (3, 3)",0.001468900619692449,32
"(3, 3) with (7, 3)",0.001421585351984533,25
"(4, 4) with (9, 9)",0.001336118481717759,71
"(0, 6) with (4, 7)",0.0013057103064066853,15
"(2, 8) with (7, 3)",0.001303780964797914,8
"(4, 7) with (9, 1)",0.0012877939529675252,23
"(4, 2) with (9, 6)",0.001250152871954451,92
"(6, 5) with (9, 1)",0.0012243898457268794,30
"(0, 2) with (9, 1)",0.0012151652624756966,30
"(0, 8) with (5, 9)",0.0012102029417240738,13
"(6, 1) with (7, 3)",0.0011977544707487528,115
"(2, 5) with (9, 2)",0.0011571638964864297,11
"(5, 1) with (7, 7)",0.001155126175320689,143
"(5, 5) with (8, 6)",0.00111929054199492,26
"(0, 2) with (8, 5)",0.001093648736228127,27
"(6, 1) with (7, 9)",0.0010727713955401873,103
"(1, 2) with (7, 7)",0.0010579330075098344,71
"(0, 6) with (7, 6)",0.0010445682451253482,12
"(0, 8) with (5, 1)",0.0010240178737665239,11
